MovieName,Director,Cast,Duration,ReleaseDate,Genre,Production,Rating_MyMovies,Rating_Critic,Rating_Public,Rating_Average,TopParagraph,BottomParagraph
Belli Ciao,Gennaro Nunziante,"Pio D'Antini, Amedeo Grieco, Giorgio Colangeli, Lorena Cacciatore, Rosa Diletta Rossi",87,1 gennaio 2022,Commedia,Vision Distribution,"2,50","1,81","2,58","2,30","Regia di Gennaro Nunziante. Un film con Pio D'Antini, Amedeo Grieco, Giorgio Colangeli, Lorena Cacciatore, Rosa Diletta Rossi. Cast completo Genere Commedia, - Italia, 2022, durata 87 minuti. Uscita cinema sabato 1 gennaio 2022 distribuito da Vision Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,30 su 8 recensioni tra critica, pubblico e dizionari.","La ricerca ossessiva dell'affermazione di sé si porta dietro la solitudine, il distacco dai valori, dai sentimenti, dai legami familiari. Il film ha ottenuto 1 candidatura ai Nastri d'Argento, In Italia al Box Office Belli Ciao ha incassato  3 milioni di euro ."
L'Immensità,Emanuele Crialese,"Penélope Cruz, Vincenzo Amato, Luana Giuliani, Patrizio Francioni, Maria Chiara Goretti",94,15 settembre 2022,Drammatico,Warner Bros Italia,"2,50","2,38","3,49","2,79","Regia di Emanuele Crialese. Un film con Penélope Cruz, Vincenzo Amato, Luana Giuliani, Patrizio Francioni, Maria Chiara Goretti. Cast completo Genere Drammatico, - Italia, Francia, 2022, durata 94 minuti. Uscita cinema giovedì 15 settembre 2022 distribuito da Warner Bros Italia. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,79 su 25 recensioni tra critica, pubblico e dizionari.","Gli equilibri di una famigia degli anni Settanta vengono rotti dalla tensione dei due coniugi. Il film ha ottenuto 2 candidature e vinto un premio ai Nastri d'Argento,  3 candidature a David di Donatello, In Italia al Box Office L'Immensità ha incassato  895 mila euro ."
Bones and All,Luca Guadagnino,"Taylor Russell, Timothée Chalamet, Michael Stuhlbarg, André Holland, Chloë Sevigny",130,23 novembre 2022,Drammatico,Vision Distribution,"3,50","3,58","2,48","3,19","Regia di Luca Guadagnino. Un film Da vedere 2022 con Taylor Russell, Timothée Chalamet, Michael Stuhlbarg, André Holland, Chloë Sevigny. Cast completo Genere Drammatico, Horror, - Italia, USA, 2022, durata 130 minuti. Uscita cinema mercoledì 23 novembre 2022 distribuito da Vision Distribution. Consigli per la visione di bambini e ragazzi: V.M. 14 - MYmonetro 3,19 su 40 recensioni tra critica, pubblico e dizionari.","Il primo film che Guadagnino gira in America, un teen d'autore, tratto dal libro di Camille DeAngelis. Il film ha ottenuto 1 candidatura ai Nastri d'Argento,  1 candidatura a David di Donatello, Il film è stato premiato al Festival di Venezia,  3 candidature a Spirit Awards,  1 candidatura a Critics Choice Super, In Italia al Box Office Bones and All ha incassato  1,3 milioni di euro ."
Educazione fisica,Stefano Cipani,"Angela Finocchiaro, Giovanna Mezzogiorno, Raffaella Rea, Sergio Rubini, Claudio Santamaria",88,16 marzo 2023,Commedia,01 Distribution,"2,00","2,11","3,29","2,47","Regia di Stefano Cipani. Un film con Angela Finocchiaro, Giovanna Mezzogiorno, Raffaella Rea, Sergio Rubini, Claudio Santamaria. Genere Commedia, - Italia, 2022, durata 88 minuti. Uscita cinema giovedì 16 marzo 2023 distribuito da 01 Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,47 su 19 recensioni tra critica, pubblico e dizionari.","Il film è tratto dal testo teatrale La Palestra di Giorgio Scianna. In Italia al Box Office Educazione fisica ha incassato  189 mila euro .

                                

Passaggio in TV
                                        sabato 24 febbraio 2024 ore 23,25 su  SKYCINEMA2"
C'era una volta il crimine,Massimiliano Bruno,"Marco Giallini, Gianmarco Tognazzi, Giampaolo Morelli, Carolina Crescentini",100,10 marzo 2022,Commedia,01 Distribution,"3,00","1,85","2,00","2,28","Regia di Massimiliano Bruno. Un film con Marco Giallini, Gianmarco Tognazzi, Giampaolo Morelli, Carolina Crescentini. Cast completo Genere Commedia, - Italia, 2022, durata 100 minuti. Uscita cinema giovedì 10 marzo 2022 distribuito da 01 Distribution. - MYmonetro 2,28 su 11 recensioni tra critica, pubblico e dizionari.",Terzo capitolo della saga che vede i protagonisti viaggiare nel tempo. In Italia al Box Office C'era una volta il crimine ha incassato  514 mila euro .
Il giorno più bello,Andrea Zalone,"Paolo Kessisoglu, Luca Bizzarri, Violante Placido, Valeria Bilello, Stefano De Martino",,9 giugno 2022,Commedia,01 Distribution,"2,00","2,29","2,28","2,19","Regia di Andrea Zalone. Un film con Paolo Kessisoglu, Luca Bizzarri, Violante Placido, Valeria Bilello, Stefano De Martino. Cast completo Genere Commedia, - Italia, 2022, Uscita cinema giovedì 9 giugno 2022 distribuito da 01 Distribution. - MYmonetro 2,19 su 12 recensioni tra critica, pubblico e dizionari.","Il primo film diretto da Andrea Zalone, da anni autore di riferimento e irrinunciabile spalla comica di Maurizio Crozza. In Italia al Box Office Il giorno più bello ha incassato  132 mila euro ."
Il pataffio,Francesco Lagi,"Lino Musella, Giorgio Tirabassi, Alessandro Gassmann, Valerio Mastandrea, Viviana Cangiano",117,18 agosto 2022,Commedia,01 Distribution,"3,50","2,67","3,39","3,19","Regia di Francesco Lagi. Un film Da vedere 2022 con Lino Musella, Giorgio Tirabassi, Alessandro Gassmann, Valerio Mastandrea, Viviana Cangiano. Cast completo Genere Commedia, - Italia, Belgio, 2022, durata 117 minuti. Uscita cinema giovedì 18 agosto 2022 distribuito da 01 Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,19 su 10 recensioni tra critica, pubblico e dizionari.","Un uomo si ritrova ad essere il signore di un feudo in rovina. Insieme a un gruppo di compagni poco convinti dovrà rivalutare le proprie terre. Il film ha ottenuto 2 candidature ai Nastri d'Argento,  2 candidature e vinto un premio ai David di Donatello, In Italia al Box Office Il pataffio ha incassato  131 mila euro ."
Me contro te - Persi nel tempo,Gianluca Leuzzi,"Luigi Calagna, Sofia Scalia, Michele Savoia, Antonella Carone, Pierpaolo Zizzi",60,1 gennaio 2022,Commedia,Warner Bros Italia,"1,50",,"1,00","1,25","Regia di Gianluca Leuzzi. Un film con Luigi Calagna, Sofia Scalia, Michele Savoia, Antonella Carone, Pierpaolo Zizzi. Cast completo Genere Commedia, - Italia, 2022, durata 60 minuti. Uscita cinema sabato 1 gennaio 2022 distribuito da Warner Bros Italia. Consigli per la visione di bambini e ragazzi: Film per tutti - MYmonetro 1,25 su 3 recensioni tra critica, pubblico e dizionari.","La terza avventura con l'amico Pong, i nemici di sempre, il Signor S e Perfidia, e una nuova agguerritissima nemica. In Italia al Box Office Me contro te - Persi nel tempo ha incassato  3,5 milioni di euro ."
Diabolik - Ginko all'Attacco,"Marco Manetti, Antonio Manetti","Giacomo Gianniotti, Miriam Leone, Valerio Mastandrea, Monica Bellucci, Alessio Lapice",111,17 novembre 2022,Azione,01 Distribution,"2,50","2,56","2,22","2,43","Regia di Marco Manetti, Antonio Manetti. Un film con Giacomo Gianniotti, Miriam Leone, Valerio Mastandrea, Monica Bellucci, Alessio Lapice. Cast completo Genere Azione, - Italia, 2022, durata 111 minuti. Uscita cinema giovedì 17 novembre 2022 distribuito da 01 Distribution. - MYmonetro 2,43 su 26 recensioni tra critica, pubblico e dizionari.","Il secondo capitolo dedicato alla maschera del Re del Terrore, questa volta interpretata dall'attore internazionale Giacomo Gianniotti. Il film ha ottenuto 3 candidature ai Nastri d'Argento,  2 candidature a David di Donatello, In Italia al Box Office Diabolik - Ginko all'Attacco ha incassato  1,2 milioni di euro ."
Il principe di Roma,Edoardo Falcone,"Marco Giallini, Giulia Bevilacqua, Filippo Timi, Sergio Rubini, Denise Tantucci",92,17 novembre 2022,Commedia,Lucky Red,"3,00","2,69","2,47","2,72","Regia di Edoardo Falcone. Un film con Marco Giallini, Giulia Bevilacqua, Filippo Timi, Sergio Rubini, Denise Tantucci. Cast completo Genere Commedia, - Italia, 2022, durata 92 minuti. Uscita cinema giovedì 17 novembre 2022 distribuito da Lucky Red. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,72 su 14 recensioni tra critica, pubblico e dizionari.","Un uomo ricco e avido nel tentativo di recuperare del denaro necessario si troverà nel bel mezzo di un sorprendente viaggio a cavallo tra passato, presente e futuro. In Italia al Box Office Il principe di Roma ha incassato  956 mila euro ."
Astolfo,Gianni Di Gregorio,"Stefania Sandrelli, Gianni Di Gregorio, Simone Colombari, Agnese Nano, Alberto Testone",97,20 ottobre 2022,Commedia,Lucky Red,"3,00","3,14","3,56","3,23","Regia di Gianni Di Gregorio. Un film Da vedere 2022 con Stefania Sandrelli, Gianni Di Gregorio, Simone Colombari, Agnese Nano, Alberto Testone. Genere Commedia, - Italia, 2022, durata 97 minuti. Uscita cinema giovedì 20 ottobre 2022 distribuito da Lucky Red. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,23 su 29 recensioni tra critica, pubblico e dizionari.","Astolfo, un pensionato che dalla vita non si aspettava più niente, viene sfrattato dal suo appartamento e ripara nella vecchia casa di famiglia. Lì incontrerà Stefania e si innamora. Il film ha ottenuto 1 candidatura ai Nastri d'Argento,  1 candidatura a David di Donatello, In Italia al Box Office Astolfo ha incassato  411 mila euro ."
Amanda,Carolina Cavalli,"Benedetta Porcaroli, Galatéa Bellugi, Michele Bravi, Monica Nappo, Margherita Maccapani Missoni",94,13 ottobre 2022,Commedia,I Wonder Pictures,"2,50","2,98","5,00","3,49","Regia di Carolina Cavalli. Un film con Benedetta Porcaroli, Galatéa Bellugi, Michele Bravi, Monica Nappo, Margherita Maccapani Missoni. Cast completo Genere Commedia, - Italia, 2022, durata 94 minuti. Uscita cinema giovedì 13 ottobre 2022 distribuito da I Wonder Pictures. - MYmonetro 3,49 su 20 recensioni tra critica, pubblico e dizionari.","Da che si ricorda Amanda, 24 anni, non ha mai avuto amici. É la cosa che desidera di più. Quando scopre che da neonate lei e Rebecca passavano un sacco di tempo insieme, Amanda sceglie la sua nuova missione: convincerla che sono ancora migliori amiche. Il film ha ottenuto 2 candidature ai Nastri d'Argento,  3 candidature a David di Donatello, In Italia al Box Office Amanda ha incassato  77,6 mila euro .
                                


   Guarda subito su iWonderfull"
Il filo invisibile,Marco Simon Puccioni,"Filippo Timi, Francesco Scianna, Francesco Gheghi, Matteo Oscar Giuggioli",90,21 febbraio 2022,Commedia,Europictures,"3,00","2,75","3,45","3,07","Regia di Marco Simon Puccioni. Un film con Filippo Timi, Francesco Scianna, Francesco Gheghi, Matteo Oscar Giuggioli. Cast completo Genere Commedia, - Italia, 2022, durata 90 minuti. Uscita cinema lunedì 21 febbraio 2022 distribuito da Europictures. - MYmonetro 3,07 su 7 recensioni tra critica, pubblico e dizionari.","La storia di una famiglia che è come tutte le altre famiglie a differenza di quello che tante persone pensano. Il film ha ottenuto 2 candidature e vinto un premio ai Nastri d'Argento, In Italia al Box Office Il filo invisibile ha incassato  223  ."
Le vele scarlatte,Pietro Marcello,"Juliette Jouan, Raphaël Thierry, Noémie Lvovsky, Louis Garrel, Yolande Moreau",100,12 gennaio 2023,Drammatico,01 Distribution,"3,50","3,58","2,50","3,19","Regia di Pietro Marcello. Un film Da vedere 2022 con Juliette Jouan, Raphaël Thierry, Noémie Lvovsky, Louis Garrel, Yolande Moreau. Cast completo Titolo originale: L'Envol. Genere Drammatico, - Francia, Italia, 2022, durata 100 minuti. Uscita cinema giovedì 12 gennaio 2023 distribuito da 01 Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,19 su 32 recensioni tra critica, pubblico e dizionari.","Il film è l'adattamento del romanzo del 1923 ""Vele scarlatte"" incentrato sull'emancipazione di una donna negli anni '20 e '30. In Italia al Box Office Le vele scarlatte ha incassato  201 mila euro ."
Margini,Niccolò Falsetti,"Francesco Turbanti, Emanuele Linfatti, Matteo Creatini, Valentina Carnelutti",91,8 settembre 2022,Commedia,Fandango,"4,00","2,96","3,46","3,47","Regia di Niccolò Falsetti. Un film Da vedere 2022 con Francesco Turbanti, Emanuele Linfatti, Matteo Creatini, Valentina Carnelutti. Cast completo Genere Commedia, - Italia, 2022, durata 91 minuti. Uscita cinema giovedì 8 settembre 2022 distribuito da Fandango. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 3,47 su 13 recensioni tra critica, pubblico e dizionari.","I membri di un gruppo punk decidono di far arrivare una famosa band americana nella loro piccola città. Non tutto però andrà come speravano. Il film ha ottenuto 3 candidature ai Nastri d'Argento,  2 candidature a David di Donatello, In Italia al Box Office Margini ha incassato  236 mila euro ."
War - La guerra desiderata,Gianni Zanasi,"Edoardo Leo, Miriam Leone, Giuseppe Battiston, Carlotta Natoli, Stefano Fresi",130,10 novembre 2022,Commedia,Vision Distribution,"2,00","2,22","2,68","2,30","Regia di Gianni Zanasi. Un film con Edoardo Leo, Miriam Leone, Giuseppe Battiston, Carlotta Natoli, Stefano Fresi. Cast completo Genere Commedia, - Italia, 2022, durata 130 minuti. Uscita cinema giovedì 10 novembre 2022 distribuito da Vision Distribution. Consigli per la visione di bambini e ragazzi: +13 - MYmonetro 2,30 su 16 recensioni tra critica, pubblico e dizionari.","Stavano ""così bene"" che per innamorarsi avevano bisogno di una guerra... In Italia al Box Office War - La guerra desiderata ha incassato  107 mila euro .

                                

Passaggio in TV
                                        mercoledì 21 febbraio 2024 ore 14,35 su  SKYCINEMADRAMA"
